TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26222RMFS8,2021-08-11,100.863,101.111,100.863,100.9,43787
SU26222RMFS8,2021-08-12,100.86,101.174,100.855,100.857,24464
SU26222RMFS8,2021-08-13,101.144,101.144,100.761,101.0,599827
SU26222RMFS8,2021-08-16,100.754,101.139,100.754,100.967,24540
SU26222RMFS8,2021-08-17,101.278,101.278,100.971,101.022,21314
SU26222RMFS8,2021-08-18,101.176,101.176,100.975,101.002,23368
SU26222RMFS8,2021-08-19,101.299,101.299,101.0,101.002,105685
SU26222RMFS8,2021-08-20,101.494,101.494,100.92,101.017,13236
SU26222RMFS8,2021-08-23,101.498,101.498,101.03,101.035,39847
SU26222RMFS8,2021-08-24,101.486,101.487,100.99,101.013,511326
SU26222RMFS8,2021-08-25,100.925,101.101,100.925,101.032,2005406
SU26222RMFS8,2021-08-26,101.227,101.227,100.89,100.89,385531
SU26222RMFS8,2021-08-27,100.801,101.482,100.801,100.906,225558
SU26222RMFS8,2021-08-30,101.438,101.439,100.813,101.014,69542
SU26222RMFS8,2021-08-31,100.802,101.19,100.802,101.04,112529
SU26222RMFS8,2021-09-01,101.387,101.5,100.961,100.978,557632
SU26222RMFS8,2021-09-02,101.091,101.091,100.781,100.811,270644
SU26222RMFS8,2021-09-03,101.376,101.376,100.811,100.833,210071
SU26222RMFS8,2021-09-06,101.44,101.496,100.8,100.8,268500
SU26222RMFS8,2021-09-07,100.814,101.34,100.702,100.705,11341
SU26222RMFS8,2021-09-08,101.291,101.291,100.684,100.684,5025
SU26222RMFS8,2021-09-09,100.687,100.819,100.6,100.612,49776
SU26222RMFS8,2021-09-10,101.235,101.235,100.6,100.6,79834
SU26222RMFS8,2021-09-13,100.757,100.8,100.506,100.655,110795
SU26222RMFS8,2021-09-14,101.165,101.165,100.583,100.604,5323
SU26222RMFS8,2021-09-15,100.69,100.839,100.571,100.615,3923
SU26222RMFS8,2021-09-16,101.14,101.14,100.515,100.551,80011
SU26222RMFS8,2021-09-17,101.001,101.001,100.475,100.475,612647
SU26222RMFS8,2021-09-20,100.959,100.959,100.3,100.303,37321
SU26222RMFS8,2021-09-21,100.44,100.74,100.273,100.419,162876
SU26222RMFS8,2021-09-22,100.912,100.912,100.204,100.29,56353
SU26222RMFS8,2021-09-23,100.836,100.836,100.18,100.2,347838
SU26222RMFS8,2021-09-24,100.757,100.757,99.92,99.92,88846
SU26222RMFS8,2021-09-27,99.921,100.39,99.91,100.001,167204
SU26222RMFS8,2021-09-28,100.449,100.449,99.904,100.15,101271
SU26222RMFS8,2021-09-29,100.445,100.445,99.85,100.0,11777
SU26222RMFS8,2021-09-30,100.049,100.05,99.82,100.006,54148
SU26222RMFS8,2021-10-01,99.853,100.281,99.496,99.892,80554
SU26222RMFS8,2021-10-04,99.893,100.33,99.553,99.707,587784
SU26222RMFS8,2021-10-05,99.502,99.724,99.111,99.389,350468
SU26222RMFS8,2021-10-06,99.717,99.717,99.001,99.37,290300
SU26222RMFS8,2021-10-07,99.215,99.547,99.0,99.546,19543
SU26222RMFS8,2021-10-08,99.698,99.699,99.284,99.602,18289
SU26222RMFS8,2021-10-11,99.394,99.601,99.35,99.499,45266
SU26222RMFS8,2021-10-12,99.691,99.691,99.209,99.551,37102
SU26222RMFS8,2021-10-13,99.698,99.698,99.3,99.591,118042
SU26222RMFS8,2021-10-14,99.7,99.7,99.364,99.607,210632
SU26222RMFS8,2021-10-15,99.7,99.7,99.352,99.553,162105
SU26222RMFS8,2021-10-18,99.682,99.682,99.062,99.333,180551
SU26222RMFS8,2021-10-19,99.333,99.492,99.161,99.385,34636
SU26222RMFS8,2021-10-20,99.471,99.471,99.106,99.298,159841
SU26222RMFS8,2021-10-21,99.417,99.417,98.942,99.128,108111
SU26222RMFS8,2021-10-22,99.226,99.226,98.195,98.3,197860
SU26222RMFS8,2021-10-25,98.367,98.37,97.569,97.8,81950
SU26222RMFS8,2021-10-26,97.552,97.92,97.55,97.66,196878
SU26222RMFS8,2021-10-27,97.58,97.916,97.55,97.801,424018
SU26222RMFS8,2021-10-28,97.921,97.921,97.0,97.187,469030
SU26222RMFS8,2021-10-29,97.345,97.651,97.048,97.26,88802
SU26222RMFS8,2021-11-01,97.494,97.494,96.754,97.142,206552
SU26222RMFS8,2021-11-02,97.052,97.455,96.883,97.116,207985
SU26222RMFS8,2021-11-03,97.438,97.497,96.95,97.0,179096
SU26222RMFS8,2021-11-05,97.295,97.295,96.892,97.08,14368
SU26222RMFS8,2021-11-08,97.083,97.489,97.031,97.356,42047
SU26222RMFS8,2021-11-09,97.006,97.458,97.006,97.287,326911
SU26222RMFS8,2021-11-10,97.436,97.79,97.21,97.599,456958
SU26222RMFS8,2021-11-11,97.861,97.861,97.0,97.5,658463
SU26222RMFS8,2021-11-12,97.501,97.856,97.122,97.305,469365
SU26222RMFS8,2021-11-15,97.409,97.414,97.01,97.153,239316
SU26222RMFS8,2021-11-16,97.074,97.168,96.923,97.099,296434
SU26222RMFS8,2021-11-17,97.399,97.399,96.918,97.0,63081
SU26222RMFS8,2021-11-18,96.98,97.0,96.56,96.791,230009
SU26222RMFS8,2021-11-19,96.792,97.4,96.5,96.654,253352
SU26222RMFS8,2021-11-22,96.654,96.655,95.791,96.048,101231
SU26222RMFS8,2021-11-23,96.384,96.447,95.707,96.055,49838
SU26222RMFS8,2021-11-24,96.673,96.673,95.905,96.161,300006
SU26222RMFS8,2021-11-25,96.664,96.888,95.677,96.392,228092
SU26222RMFS8,2021-11-26,96.857,96.857,95.95,96.45,139176
SU26222RMFS8,2021-11-29,96.5,96.898,96.107,96.602,224602
SU26222RMFS8,2021-11-30,96.867,96.868,96.21,96.497,944557
SU26222RMFS8,2021-12-01,96.929,96.929,96.098,96.429,247662
SU26222RMFS8,2021-12-02,96.602,96.743,96.084,96.462,400206
SU26222RMFS8,2021-12-03,96.498,96.667,96.1,96.505,180629
